Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_X 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_Y 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM; Fitted_X 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM; Fitted_Y 	
-18.5 	-0.0124999721519998 	-18.5 	0 	
-18.4000015258789 	-0.0116999948513694 	-18.4000015258789 	0 	
-18.2999992370605 	-0.011399981311115 	-18.2999992370605 	0 	
-18.2000007629395 	-0.0101999806392996 	-18.2000007629395 	0 	
-18.1000003814697 	-0.0109000199336151 	-18.1000003814697 	0 	
-18 	-0.0102000162150944 	-18 	0 	
-17.9000015258789 	-0.00949998979922384 	-17.9000015258789 	0 	
-17.7999992370605 	-0.00909998979841475 	-17.7999992370605 	0 	
-17.7000007629395 	-0.00660002603763132 	-17.7000007629395 	0 	
-17.6000003814697 	-0.00469999894994544 	-17.6000003814697 	0 	
-17.5 	-0.00140001793261035 	-17.5 	0 	
-17.4000015258789 	0.00129998884222005 	-17.4000015258789 	0 	
-17.2999992370605 	0.00340002574739628 	-17.2999992370605 	0 	
-17.2000007629395 	0.00439999627997167 	-17.2000007629395 	0 	
-17.1000003814697 	0.00589997357747052 	-17.1000003814697 	0 	
-17 	0.0103000050548872 	-17 	0 	
-16.9000015258789 	0.0110000087734079 	-16.9000015258789 	0 	
-16.7999992370605 	0.0119000290869735 	-16.7999992370605 	0 	
-16.7000007629395 	0.0124000094401708 	-16.7000007629395 	0 	
-16.6000003814697 	0.0134999867404986 	-16.6000003814697 	0 	
-16.5 	0.0157999904622557 	-16.5 	0 	
-16.4000015258789 	0.0187999813060742 	-16.4000015258789 	0 	
-16.2999992370605 	0.0199000053398777 	-16.2999992370605 	0 	
-16.2000007629395 	0.0163999856958981 	-16.2000007629395 	0 	
-16.1000003814697 	0.0174999894152279 	-16.1000003814697 	0 	
-16 	0.0177000022886205 	-16 	0 	
-15.9000005722046 	0.0162999789208698 	-15.9000005722046 	0 	
-15.8000001907349 	0.0173000016184233 	-15.8000001907349 	0 	
-15.7000007629395 	0.0194999911291234 	-15.7000007629395 	0 	
-15.6000003814697 	0.0229999843577389 	-15.6000003814697 	0 	
-15.5 	0.0285999904626806 	-15.5 	0 	
-15.4000005722046 	0.0314000107755419 	-15.4000005722046 	0 	
-15.3000001907349 	0.0361000182128919 	-15.3000001907349 	0 	
-15.2000007629395 	0.0355999819730641 	-15.2000007629395 	0 	
-15.1000003814697 	0.03729997892151 	-15.1000003814697 	0 	
-15 	0.0341999935117201 	-15 	0 	
-14.8999996185303 	0.0378000101081852 	-14.8999996185303 	0 	
-14.8000011444092 	0.0422999928450736 	-14.8000011444092 	0 	
-14.7000007629395 	0.0476000057169585 	-14.7000007629395 	0 	
-14.6000003814697 	0.0580999731973861 	-14.6000003814697 	0 	
-14.5 	0.0587000033374352 	-14.5 	0 	
-14.3999996185303 	0.05830000095375 	-14.3999996185303 	0 	
-14.3000011444092 	0.0591999728203518 	-14.3000011444092 	0 	
-14.2000007629395 	0.0568000195489731 	-14.2000007629395 	0 	
-14.1000003814697 	0.06420001477818 	-14.1000003814697 	0 	
-14 	0.071499982928799 	-14 	0 	
-13.8999996185303 	0.0817000106762862 	-13.8999996185303 	0 	
-13.8000011444092 	0.0868000231712358 	-13.8000011444092 	0 	
-13.7000007629395 	0.0793000201192626 	-13.7000007629395 	0 	
-13.6000003814697 	0.0833000275597442 	-13.6000003814697 	0 	
-13.5 	0.0822999960873858 	-13.5 	0 	
-13.3999996185303 	0.0876000292773824 	-13.3999996185303 	0 	
-13.3000011444092 	0.0931000113487244 	-13.3000011444092 	0 	
-13.2000007629395 	0.132200015923445 	-13.2000007629395 	0 	
-13.1000003814697 	0.0988999827350199 	-13.1000003814697 	0 	
-13 	0.0976999781596533 	-13 	0 	
