Run 1; Fc 3-1; Cy 4; 3006; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_X 	Run 1; Fc 3-1; Cy 4; 3006; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_Y 	
-25.2999992370605 	0.143800004625518 	
-25.2000007629395 	0.131599989366805 	
-25.1000003814697 	0.118600000856532 	
-25 	0.106400005246542 	
-24.9000015258789 	0.105800000143063 	
-24.7999992370605 	0.112899992323946 	
-24.7000007629395 	0.119399995659478 	
-24.6000003814697 	0.131400010159268 	
-24.5 	0.142400007724063 	
-24.4000015258789 	0.147499993134261 	
-24.2999992370605 	0.149800014449283 	
-24.2000007629395 	0.147100005291577 	
-24.1000003814697 	0.140100011729373 	
-24 	0.13539998903434 	
-23.9000015258789 	0.133099989034235 	
-23.7999992370605 	0.132400010013953 	
-23.7000007629395 	0.132999987650692 	
-23.6000003814697 	0.134200008964399 	
-23.5 	0.133600006913184 	
-23.4000015258789 	0.132699997422606 	
-23.2999992370605 	0.133899998094421 	
-23.2000007629395 	0.133299995373818 	
-23.1000003814697 	0.13480000619893 	
-23 	0.134300006531703 	
-22.9000015258789 	0.134199997042742 	
-22.7999992370605 	0.133000013636774 	
-22.7000007629395 	0.133199994324968 	
-22.6000003814697 	0.133199994994357 	
-22.5 	0.132400012254948 	
-22.4000015258789 	0.132299992943445 	
-22.2999992370605 	0.133099990558549 	
-22.2000007629395 	0.134699991227535 	
-22.1000003814697 	0.133599998331192 	
-22 	0.132799989176419 	
-21.9000015258789 	0.132300009823666 	
-21.7999992370605 	0.132800003721059 	
-21.7000007629395 	0.133499995921738 	
-21.6000003814697 	0.134799996591028 	
-21.5 	0.135699996924814 	
-21.4000015258789 	0.136799992847955 	
-21.2999992370605 	0.137099996900361 	
-21.2000007629395 	0.136799995540059 	
-21.1000003814697 	0.136700006034516 	
-21 	0.135799996543938 	
-20.9000015258789 	0.133700003316335 	
-20.7999992370605 	0.133299997210997 	
-20.7000007629395 	0.133099997543468 	
-20.6000003814697 	0.132399999572954 	
-20.5 	0.130200001261983 	
-20.4000015258789 	0.128400006342417 	
-20.2999992370605 	0.125400006007112 	
-20.2000007629395 	0.124100006007211 	
-20.1000003814697 	0.123000001265609 	
-20 	0.12180000295848 	
-19.9000015258789 	0.121199994824565 	
-19.7999992370605 	0.120900006677402 	
-19.7000007629395 	0.119300000238582 	
-19.6000003814697 	0.1194000059877 	
-19.5 	0.120500000211905 	
-19.4000015258789 	0.119799999189127 	
-19.2999992370605 	0.119500001219421 	
-19.2000007629395 	0.118800004602235 	
-19.1000003814697 	0.119299993417371 	
-19 	0.119300006961566 	
-18.9000015258789 	0.118099998831894 	
-18.7999992370605 	0.118499995780439 	
