Run 1; Fc 2-1; Cy 6; WT-V5-APEX2; Conc 0.1524158 nM; Excluded_X 	Run 1; Fc 2-1; Cy 6; WT-V5-APEX2; Conc 0.1524158 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 7; WT-V5-APEX2; Conc 0.4572474 nM_X 	Run 1; Fc 2-1; Cy 7; WT-V5-APEX2; Conc 0.4572474 nM_Y 	Run 1; Fc 2-1; Cy 8; WT-V5-APEX2; Conc 1.371742 nM_X 	Run 1; Fc 2-1; Cy 8; WT-V5-APEX2; Conc 1.371742 nM_Y 	Run 1; Fc 2-1; Cy 9; WT-V5-APEX2; Conc 4.115226 nM_X 	Run 1; Fc 2-1; Cy 9; WT-V5-APEX2; Conc 4.115226 nM_Y 	Run 1; Fc 2-1; Cy 10; WT-V5-APEX2; Conc 12.34568 nM_X 	Run 1; Fc 2-1; Cy 10; WT-V5-APEX2; Conc 12.34568 nM_Y 	Run 1; Fc 2-1; Cy 11; WT-V5-APEX2; Conc 37.03704 nM_X 	Run 1; Fc 2-1; Cy 11; WT-V5-APEX2; Conc 37.03704 nM_Y 	Run 1; Fc 2-1; Cy 12; WT-V5-APEX2; Conc 111.1111 nM_X 	Run 1; Fc 2-1; Cy 12; WT-V5-APEX2; Conc 111.1111 nM_Y 	Run 1; Fc 2-1; Cy 13; WT-V5-APEX2; Conc 333.3333 nM_X 	Run 1; Fc 2-1; Cy 13; WT-V5-APEX2; Conc 333.3333 nM_Y 	Run 1; Fc 2-1; Cy 14; WT-V5-APEX2; Conc 1000 nM; Excluded_X 	Run 1; Fc 2-1; Cy 14; WT-V5-APEX2; Conc 1000 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 36; WT-V5-APEX2; Conc 0.1524158 nM_X 	Run 1; Fc 2-1; Cy 36; WT-V5-APEX2; Conc 0.1524158 nM_Y 	Run 1; Fc 2-1; Cy 37; WT-V5-APEX2; Conc 0.4572474 nM; Excluded_X 	Run 1; Fc 2-1; Cy 37; WT-V5-APEX2; Conc 0.4572474 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 38; WT-V5-APEX2; Conc 1.371742 nM; Excluded_X 	Run 1; Fc 2-1; Cy 38; WT-V5-APEX2; Conc 1.371742 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 39; WT-V5-APEX2; Conc 4.115226 nM; Excluded_X 	Run 1; Fc 2-1; Cy 39; WT-V5-APEX2; Conc 4.115226 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 40; WT-V5-APEX2; Conc 12.34568 nM; Excluded_X 	Run 1; Fc 2-1; Cy 40; WT-V5-APEX2; Conc 12.34568 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 41; WT-V5-APEX2; Conc 37.03704 nM; Excluded_X 	Run 1; Fc 2-1; Cy 41; WT-V5-APEX2; Conc 37.03704 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 42; WT-V5-APEX2; Conc 111.1111 nM; Excluded_X 	Run 1; Fc 2-1; Cy 42; WT-V5-APEX2; Conc 111.1111 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 43; WT-V5-APEX2; Conc 333.3333 nM; Excluded_X 	Run 1; Fc 2-1; Cy 43; WT-V5-APEX2; Conc 333.3333 nM; Excluded_Y 	Run 1; Fc 2-1; Cy 44; WT-V5-APEX2; Conc 1000 nM; Excluded_X 	Run 1; Fc 2-1; Cy 44; WT-V5-APEX2; Conc 1000 nM; Excluded_Y 	
204.799987792969 	32.4720506637568 	204.799987792969 	10.6202506637601 	204.799987792969 	31.7626506637571 	204.799987792969 	61.4439506637609 	204.799987792969 	97.9617506637587 	204.800018310547 	123.491951140593 	204.799987792969 	126.628550663758 	204.799987792969 	119.290050663756 	204.800018310547 	159.493551140597 	204.800018310547 	-8.82554885940408 	204.800018310547 	-5.97684885940544 	204.800018310547 	6.1046511405948 	204.799987792969 	48.306250663758 	204.799987792969 	131.671150663758 	204.800018310547 	186.275651140597 	204.800018310547 	147.629751140597 	204.800018310547 	113.677051140592 	204.799987792969 	209.282350663754 	
204.900024414063 	32.4738519824969 	204.900024414063 	10.621951982499 	204.900024414063 	31.763551982498 	204.899963378906 	61.4415503135715 	204.900024414063 	97.9527519824987 	204.899993896484 	123.474551028827 	204.900024414063 	126.609551982499 	204.900024414063 	119.273551982496 	204.899993896484 	159.475151028826 	204.899993896484 	-8.83044897117725 	204.899993896484 	-5.98084897117224 	204.899993896484 	6.09955102882668 	204.899963378906 	48.2963503135688 	204.899963378906 	131.646850313569 	204.899993896484 	186.240451028825 	204.899993896484 	147.599251028827 	204.899993896484 	113.655951028824 	204.900024414063 	209.254551982496 	
205 	32.476600302889 	205 	10.62460030289 	205 	31.7654003028874 	205 	61.439000302893 	205 	97.9446003028861 	204.999969482422 	123.457299587633 	205 	126.590000302887 	205 	119.257800302887 	205.000030517578 	159.457601018144 	205.000030517578 	-8.83449898185791 	205.000030517578 	-5.9842989818535 	205.000030517578 	6.09580101814208 	205 	48.287200302886 	205 	131.62260030289 	204.999969482422 	186.204799587635 	205.000030517578 	147.570001018143 	204.999969482422 	113.636799587628 	205 	209.227900302885 	
205.100036621094 	32.4788514873508 	205.099975585938 	10.6260505336759 	205.100036621094 	31.7659514873521 	205.099975585938 	61.4361505336783 	205.100036621094 	97.9348514873527 	205.100006103516 	123.440151010516 	205.099975585938 	126.569950533674 	205.099975585938 	119.241550533672 	205.100006103516 	159.440351010515 	205.100006103516 	-8.83974898948509 	205.100006103516 	-5.98824898948806 	205.100006103516 	6.09025101051157 	205.099975585938 	48.276850533679 	205.099975585938 	131.598850533675 	205.100006103516 	186.167651010514 	205.100006103516 	147.540151010515 	205.100006103516 	113.615251010509 	205.100036621094 	209.199551487349 	
205.200012207031 	32.4803995391812 	205.200012207031 	10.6276995391854 	205.200012207031 	31.765099539185 	205.200012207031 	61.4327995391868 	205.200012207031 	97.9244995391855 	205.199981689453 	123.42199906235 	205.200012207031 	126.549299539187 	205.200012207031 	119.223599539186 	205.199981689453 	159.421099062351 	205.199981689453 	-8.84490093765271 	205.199981689453 	-5.9921009376485 	205.199981689453 	6.08509906234758 	205.200012207031 	48.2669995391843 	205.200012207031 	131.574399539186 	205.199981689453 	186.130199062347 	205.199981689453 	147.50909906235 	205.199981689453 	113.593499062346 	205.200012207031 	209.170699539183 	
205.299987792969 	32.4820005561814 	205.299987792969 	10.6290005561859 	205.299987792969 	31.7650005561845 	205.299987792969 	61.4287005561855 	205.299987792969 	97.9133005561853 	205.300018310547 	123.404201033019 	205.299987792969 	126.528800556185 	205.299987792969 	119.206300556183 	205.300018310547 	159.401701033021 	205.300018310547 	-8.85039896698072 	205.300018310547 	-5.99679896697853 	205.300018310547 	6.0795010330221 	205.299987792969 	48.2573005561826 	205.299987792969 	131.550500556183 	205.300018310547 	186.094801033021 	205.300018310547 	147.477601033021 	205.300018310547 	113.571601033022 	205.299987792969 	209.141900556184 	
205.400024414063 	32.4836515354145 	205.400024414063 	10.6318515354178 	205.400024414063 	31.7658515354196 	205.399963378906 	61.425650581743 	205.400024414063 	97.9036515354164 	205.399993896484 	123.386951058579 	205.400024414063 	126.509551535415 	205.400024414063 	119.189751535414 	205.399993896484 	159.38345105858 	205.399993896484 	-8.85524894142145 	205.399993896484 	-6.00114894141734 	205.399993896484 	6.07495105857743 	205.399963378906 	48.2477505817405 	205.399963378906 	131.528050581743 	205.399993896484 	186.05945105858 	205.399993896484 	147.448151058583 	205.399993896484 	113.550251058579 	205.400024414063 	209.114751535413 	
205.5 	32.4856506088254 	205.5 	10.633550608829 	205.5 	31.7662506088272 	205.5 	61.4226506088271 	205.5 	97.8935506088237 	205.499969482422 	123.369950131986 	205.5 	126.489250608829 	205.5 	119.172750608825 	205.500030517578 	159.364851085666 	205.500030517578 	-8.86014891434024 	205.500030517578 	-6.0054489143331 	205.500030517578 	6.07115108566359 	205.5 	48.237850608828 	205.5 	131.504550608828 	205.499969482422 	186.024650131993 	205.500030517578 	147.418451085665 	205.499969482422 	113.529750131987 	205.5 	209.086650608824 	
205.600036621094 	32.4877013858786 	205.599975585938 	10.6362006706258 	205.600036621094 	31.7662013858826 	205.599975585938 	61.4198006706247 	205.600036621094 	97.8836013858781 	205.600006103516 	123.352500909041 	205.599975585938 	126.469000670622 	205.599975585938 	119.154500670622 	205.600006103516 	159.346300909045 	205.600006103516 	-8.86509909095912 	205.600006103516 	-6.0098990909537 	205.600006103516 	6.06530090904198 	205.599975585938 	48.2281006706216 	205.599975585938 	131.481500670627 	205.600006103516 	185.987700909045 	205.600006103516 	147.389200909045 	205.600006103516 	113.50790090904 	205.600036621094 	209.058401385875 	
205.700012207031 	32.490299439236 	205.700012207031 	10.637999439241 	205.700012207031 	31.7661994392402 	205.700012207031 	61.4163994392438 	205.700012207031 	97.8741994392403 	205.699981689453 	123.334398962405 	205.700012207031 	126.448899439238 	205.700012207031 	119.136799439239 	205.699981689453 	159.326298962405 	205.699981689453 	-8.86970103759813 	205.699981689453 	-6.01440103759523 	205.699981689453 	6.06089896240155 	205.700012207031 	48.2179994392391 	205.700012207031 	131.458099439242 	205.699981689453 	185.950998962402 	205.699981689453 	147.359198962404 	205.699981689453 	113.485998962402 	205.700012207031 	209.029699439237 	
