Run 1; Fc 2; Cy 3; RAD51; Conc 2.29 6.86 20.58 61.73 185.2 555.6 1667 5000 nM_X 	Run 1; Fc 2; Cy 3; RAD51; Conc 2.29 6.86 20.58 61.73 185.2 555.6 1667 5000 nM_Y 	
4.90000152587891 	3.11919986915382 	
5 	3.11799994773901 	
5.10000228881836 	3.1178998241412 	
5.20000076293945 	3.11689983940232 	
5.30000305175781 	3.11550002365038 	
5.40000152587891 	3.11370004196215 	
5.5 	3.11380005111641 	
5.60000228881836 	3.1134998611451 	
5.70000076293945 	3.1127999427772 	
5.80000305175781 	3.11229988860941 	
5.90000152587891 	3.11240003662169 	
6 	3.11170001564096 	
6.10000228881836 	3.11019992828369 	
6.20000076293945 	3.11009987106445 	
6.30000305175781 	3.10969998588553 	
6.40000152587891 	3.10999982605063 	
6.5 	3.10839984130871 	
6.60000228881836 	3.10819985351554 	
6.70000076293945 	3.10830003471347 	
6.80000305175781 	3.10829984168959 	
6.90000152587891 	3.10779989013463 	
7 	3.10799990234227 	
7.10000228881836 	3.10880004730279 	
7.20000076293945 	3.10839999008022 	
7.30000305175781 	3.10759993591273 	
7.40000152587891 	3.10729998130773 	
7.5 	3.10689992408516 	
7.60000228881836 	3.10569986686824 	
7.70000076293945 	3.10459998168881 	
7.80000305175781 	3.10419992446987 	
7.90000152587891 	3.10380003623868 	
8 	3.10299997901893 	
8.10000228881836 	3.10329985236967 	
8.20000076293945 	3.10289993095284 	
8.30000305175781 	3.1018999431617 	
8.40000152587891 	3.10139988594165 	
8.5 	3.10129999771016 	
8.60000228881836 	3.10130007629414 	
8.70000076293945 	3.10109988021941 	
8.80000305175781 	3.10019995880066 	
8.90000152587891 	3.09960003738524 	
9 	3.09869987754792 	
9.10000228881836 	3.09749988670228 	
9.20000076293945 	3.09720006485077 	
9.30000305175781 	3.09640004081666 	
9.40000152587891 	3.09709991111595 	
9.5 	3.09769998664706 	
9.60000228881836 	3.09890005912894 	
9.70000076293945 	3.10049985694786 	
9.80000305175781 	3.10119996566573 	
