Run 1; Fc 6-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM_X 	Run 1; Fc 6-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM_Y 	Run 1; Fc 6-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM; Fitted_X 	Run 1; Fc 6-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM; Fitted_Y 	
-19.9000015258789 	0.160799982641038 	-19.9000015258789 	0 	
-19.8000011444092 	0.160499943351169 	-19.8000011444092 	0 	
-19.7000007629395 	0.159700042910117 	-19.7000007629395 	0 	
-19.6000003814697 	0.160499953839462 	-19.6000003814697 	0 	
-19.5 	0.160500050351402 	-19.5 	0 	
-19.4000015258789 	0.161799994464673 	-19.4000015258789 	0 	
-19.3000011444092 	0.162699958225858 	-19.3000011444092 	0 	
-19.2000007629395 	0.163199955175514 	-19.2000007629395 	0 	
-19.1000003814697 	0.16239997482262 	-19.1000003814697 	0 	
-19 	0.162299958225049 	-19 	0 	
-18.9000015258789 	0.163299985310005 	-18.9000015258789 	0 	
-18.8000011444092 	0.162400015444291 	-18.8000011444092 	0 	
-18.7000007629395 	0.162999903674063 	-18.7000007629395 	0 	
-18.6000003814697 	0.16290001678135 	-18.6000003814697 	0 	
-18.5 	0.163799974438007 	-18.5 	0 	
-18.4000015258789 	0.164100018115278 	-18.4000015258789 	0 	
-18.3000011444092 	0.163899929044419 	-18.3000011444092 	0 	
-18.2000007629395 	0.16170000152124 	-18.2000007629395 	0 	
-18.1000003814697 	0.161699981876154 	-18.1000003814697 	0 	
-18 	0.160599984927103 	-18 	0 	
-17.9000015258789 	0.158200074001797 	-17.9000015258789 	0 	
-17.8000011444092 	0.155900043864676 	-17.8000011444092 	0 	
-17.7000007629395 	0.154500046915928 	-17.7000007629395 	0 	
-17.6000003814697 	0.154100033374561 	-17.6000003814697 	0 	
-17.5 	0.152799980543932 	-17.5 	0 	
-17.4000015258789 	0.152799941250123 	-17.4000015258789 	0 	
-17.3000011444092 	0.151799984927493 	-17.3000011444092 	0 	
-17.2000007629395 	0.151199978827208 	-17.2000007629395 	0 	
-17.1000003814697 	0.151299919885787 	-17.1000003814697 	0 	
-17 	0.148600005912158 	-17 	0 	
-16.9000015258789 	0.148199986262625 	-16.9000015258789 	0 	
-16.8000011444092 	0.148100055692339 	-16.8000011444092 	0 	
-16.7000007629395 	0.150199946972862 	-16.7000007629395 	0 	
-16.6000003814697 	0.151599974054989 	-16.6000003814697 	0 	
-16.5 	0.153100034331146 	-16.5 	0 	
-16.4000015258789 	0.151100017734279 	-16.4000015258789 	0 	
-16.3000011444092 	0.14820001773478 	-16.3000011444092 	0 	
-16.2000007629395 	0.147999988934316 	-16.2000007629395 	0 	
-16.1000003814697 	0.147100041765952 	-16.1000003814697 	0 	
-16 	0.145300002477597 	-16 	0 	
-15.9000005722046 	0.141800016019261 	-15.9000005722046 	0 	
-15.8000011444092 	0.140500003810303 	-15.8000011444092 	0 	
-15.7000007629395 	0.140599908634613 	-15.7000007629395 	0 	
-15.6000003814697 	0.140000047489593 	-15.6000003814697 	0 	
-15.5000009536743 	0.134899990269332 	-15.5000009536743 	0 	
-15.4000005722046 	0.128799982830969 	-15.4000005722046 	0 	
-15.3000011444092 	0.12710007190617 	-15.3000011444092 	0 	
-15.2000007629395 	0.124000044819695 	-15.2000007629395 	0 	
-15.1000003814697 	0.124099985881912 	-15.1000003814697 	0 	
-15.0000009536743 	0.123000061412313 	-15.0000009536743 	0 	
-14.9000005722046 	0.122400022122747 	-14.9000005722046 	0 	
-14.8000011444092 	0.100000090216781 	-14.8000011444092 	0 	
-14.7000007629395 	0.0656999906495912 	-14.7000007629395 	0 	
-14.6000003814697 	0.0530997335408756 	-14.6000003814697 	0 	
-14.5 	0.0703999551733432 	-14.5 	0 	
-14.4000015258789 	0.0931993528356543 	-14.4000015258789 	0 	
-14.3000011444092 	0.107399478336447 	-14.3000011444092 	0 	
-14.2000007629395 	0.118099625204195 	-14.2000007629395 	0 	
-14.1000003814697 	0.12469964542106 	-14.1000003814697 	0 	
-14 	0.117599962039094 	-14 	0 	
-13.9000015258789 	0.0983999816853611 	-13.9000015258789 	0 	
-13.8000011444092 	0.102399700164824 	-13.8000011444092 	0 	
-13.7000007629395 	0.105599616050313 	-13.7000007629395 	0 	
-13.6000003814697 	0.103299568174407 	-13.6000003814697 	0 	
-13.5 	0.128700039098476 	-13.5 	0 	
-13.4000015258789 	0.143999243351573 	-13.4000015258789 	0 	
-13.3000011444092 	0.137399211307638 	-13.3000011444092 	0 	
-13.2000007629395 	0.160598811336968 	-13.2000007629395 	0 	
-13.1000003814697 	0.205600098604918 	-13.1000003814697 	0 	
-13 	0.224000035283098 	-13 	0 	
-12.9000015258789 	0.200899905201368 	-12.9000015258789 	0 	
-12.8000011444092 	0.178999039646442 	-12.8000011444092 	0 	
-12.7000007629395 	0.180798531910114 	-12.7000007629395 	0 	
-12.6000003814697 	0.192898323151894 	-12.6000003814697 	0 	
-12.5 	0.220499998948071 	-12.5 	0 	
-12.4000015258789 	0.363497397611354 	-12.4000015258789 	0 	
-12.3000011444092 	0.231992665765574 	-12.3000011444092 	0 	
-12.2000007629395 	-0.100009136822337 	-12.2000007629395 	0 	
-12.1000003814697 	0.117593288799981 	-12.1000003814697 	0 	
-12 	0.15970000028392 	-12 	0 	
-11.9000015258789 	0.162499932190258 	-11.9000015258789 	0 	
-11.8000011444092 	0.145600127980288 	-11.8000011444092 	0 	
