Run 1; Fc 2-1; Cy 4; Furosemide; Conc 6.103516 24.41406 97.65625 390.625 1562.5 6250 25000 100000 nM_X 	Run 1; Fc 2-1; Cy 4; Furosemide; Conc 6.103516 24.41406 97.65625 390.625 1562.5 6250 25000 100000 nM_Y 	Run 1; Fc 2-1; Cy 4; Furosemide; Conc 6.103516 24.41406 97.65625 390.625 1562.5 6250 25000 100000 nM; Fitted_X 	Run 1; Fc 2-1; Cy 4; Furosemide; Conc 6.103516 24.41406 97.65625 390.625 1562.5 6250 25000 100000 nM; Fitted_Y 	
-18.2999992370605 	0.13210000073741 	-18.2999992370605 	0 	
-18.2000007629395 	0.130500000064785 	-18.2000007629395 	0 	
-18.1000003814697 	0.127300049185578 	-18.1000003814697 	0 	
-18 	0.12579999974696 	-18 	0 	
-17.8999996185303 	0.124600000439386 	-17.8999996185303 	0 	
-17.7999992370605 	0.123799999848416 	-17.7999992370605 	0 	
-17.7000007629395 	0.122800000106508 	-17.7000007629395 	0 	
-17.6000003814697 	0.122400015432504 	-17.6000003814697 	0 	
-17.5 	0.120699999781209 	-17.5 	0 	
-17.3999996185303 	0.119000000289816 	-17.3999996185303 	0 	
-17.2999992370605 	0.118600000459992 	-17.2999992370605 	0 	
-17.2000007629395 	0.117599999961385 	-17.2000007629395 	0 	
-17.1000003814697 	0.114700026548235 	-17.1000003814697 	0 	
-17 	0.111399999928835 	-17 	0 	
-16.8999996185303 	0.109399999804737 	-16.8999996185303 	0 	
-16.7999992370605 	0.108599999934086 	-16.7999992370605 	0 	
-16.7000007629395 	0.108299999810697 	-16.7000007629395 	0 	
-16.6000003814697 	0.107200018974254 	-16.6000003814697 	0 	
-16.5 	0.106800000117801 	-16.5 	0 	
-16.3999996185303 	0.105599999951664 	-16.3999996185303 	0 	
-16.2999992370605 	0.105399999978545 	-16.2999992370605 	0 	
-16.2000007629395 	0.104700000018056 	-16.2000007629395 	0 	
-16.1000003814697 	0.104900017140608 	-16.1000003814697 	0 	
-16 	0.103999999955704 	-16 	0 	
-15.8999996185303 	0.103000000119209 	-15.8999996185303 	0 	
-15.8000001907349 	0.10260000359267 	-15.8000001907349 	0 	
-15.6999998092651 	0.101800000076764 	-15.6999998092651 	0 	
-15.6000003814697 	0.100000016005652 	-15.6000003814697 	0 	
-15.5 	0.0987000000532134 	-15.5 	0 	
-15.3999996185303 	0.095999999641208 	-15.3999996185303 	0 	
-15.3000001907349 	0.0959000007424038 	-15.3000001907349 	0 	
-15.1999998092651 	0.0974000054848148 	-15.1999998092651 	0 	
-15.1000003814697 	0.0952000003380817 	-15.1000003814697 	0 	
-15 	0.0945000005958718 	-15 	0 	
-14.8999996185303 	0.0918000004385249 	-14.8999996185303 	0 	
-14.7999992370605 	0.0946000004259986 	-14.7999992370605 	0 	
-14.7000007629395 	0.0979000085571897 	-14.7000007629395 	0 	
-14.6000003814697 	0.0962000002764398 	-14.6000003814697 	0 	
-14.5 	0.0933999999542721 	-14.5 	0 	
-14.3999996185303 	0.0949000003020046 	-14.3999996185303 	0 	
-14.2999992370605 	0.0994000006394344 	-14.2999992370605 	0 	
-14.2000007629395 	0.0996000048689893 	-14.2000007629395 	0 	
-14.1000003814697 	0.100199999455072 	-14.1000003814697 	0 	
-14 	0.101600000110921 	-14 	0 	
-13.8999996185303 	0.102699999777542 	-13.8999996185303 	0 	
-13.7999992370605 	0.105299999813724 	-13.7999992370605 	0 	
-13.7000007629395 	0.107600163435563 	-13.7000007629395 	0 	
-13.6000003814697 	0.104100001291954 	-13.6000003814697 	0 	
-13.5 	0.101699998260301 	-13.5 	0 	
-13.3999996185303 	0.102399999632325 	-13.3999996185303 	0 	
-13.2999992370605 	0.102400001662318 	-13.2999992370605 	0 	
-13.2000007629395 	0.101799948817643 	-13.2000007629395 	0 	
-13.1000003814697 	0.0983000009582611 	-13.1000003814697 	0 	
-13 	0.0940999982267385 	-13 	0 	
-12.8999996185303 	0.0939000012513134 	-12.8999996185303 	0 	
-12.7999992370605 	0.0961000001698267 	-12.7999992370605 	0 	
-12.7000007629395 	0.0956000103324186 	-12.7000007629395 	0 	
-12.6000003814697 	0.0917999988450902 	-12.6000003814697 	0 	
-12.5 	0.0887999998813029 	-12.5 	0 	
-12.3999996185303 	0.0890000005601905 	-12.3999996185303 	0 	
-12.2999992370605 	0.0827000006029266 	-12.2999992370605 	0 	
-12.2000007629395 	0.0776000825790106 	-12.2000007629395 	0 	
-12.1000003814697 	0.0763999986083945 	-12.1000003814697 	0 	
-12 	0.0853000016140868 	-12 	0 	
-11.8999996185303 	0.0803000015730504 	-11.8999996185303 	0 	
-11.7999992370605 	0.07589999819902 	-11.7999992370605 	0 	
-11.7000007629395 	0.0708001330203842 	-11.7000007629395 	0 	
-11.6000003814697 	0.0735999992903089 	-11.6000003814697 	0 	
-11.5 	0.0829999994675745 	-11.5 	0 	
-11.3999996185303 	0.0522999987224466 	-11.3999996185303 	0 	
-11.2999992370605 	0.0522000021883287 	-11.2999992370605 	0 	
-11.2000007629395 	0.0486995401224704 	-11.2000007629395 	0 	
-11.1000003814697 	0.0409000014333287 	-11.1000003814697 	0 	
-11 	0.0177000035837409 	-11 	0 	
-10.8999996185303 	0.0373000020554173 	-10.8999996185303 	0 	
-10.7999992370605 	0.0749999853651389 	-10.7999992370605 	0 	
-10.7000007629395 	0.0377023634500802 	-10.7000007629395 	0 	
-10.6000003814697 	0.0328000051013078 	-10.6000003814697 	0 	
-10.5 	0.0367999966474599 	-10.5 	0 	
-10.3999996185303 	0.050000001778244 	-10.3999996185303 	0 	
-10.2999992370605 	0.0383000005531358 	-10.2999992370605 	0 	
-10.2000007629395 	0.0212002000043867 	-10.2000007629395 	0 	
-10.1000003814697 	0.0277000000933185 	-10.1000003814697 	0 	
-10 	0.0326000005807145 	-10 	0 	
-9.89999961853027 	0.0352999997121515 	-9.89999961853027 	0 	
-9.79999923706055 	0.030700000897923 	-9.79999923706055 	0 	
-9.70000076293945 	0.0354000583174638 	-9.70000076293945 	0 	
-9.60000038146973 	0.0210000000370201 	-9.60000038146973 	0 	
-9.5 	0.0254000001150416 	-9.5 	0 	
-9.39999961853027 	0.025700000442157 	-9.39999961853027 	0 	
-9.29999923706055 	0.0219999996043043 	-9.29999923706055 	0 	
-9.20000076293945 	0.0229999698713073 	-9.20000076293945 	0 	
-9.10000038146973 	0.0181999996930244 	-9.10000038146973 	0 	
-9 	0.0181000002849032 	-9 	0 	
-8.89999961853027 	0.0201000002634828 	-8.89999961853027 	0 	
-8.79999923706055 	0.0181000003503868 	-8.79999923706055 	0 	
-8.70000076293945 	0.0180000167820253 	-8.70000076293945 	0 	
-8.60000038146973 	0.0202999997563893 	-8.60000038146973 	0 	
-8.5 	0.0212999995783321 	-8.5 	0 	
-8.39999961853027 	0.0225000005957554 	-8.39999961853027 	0 	
-8.29999923706055 	0.0211000000927015 	-8.29999923706055 	0 	
-8.20000076293945 	0.0174000420083757 	-8.20000076293945 	0 	
-8.10000038146973 	0.0172000004386064 	-8.10000038146973 	0 	
-8 	0.0193999998446088 	-8 	0 	
-7.89999961853027 	0.0170999997644685 	-7.89999961853027 	0 	
-7.79999923706055 	0.0153000002683257 	-7.79999923706055 	0 	
-7.70000076293945 	0.0122000453266082 	-7.70000076293945 	0 	
-7.60000038146973 	0.0113999997774954 	-7.60000038146973 	0 	
-7.5 	0.00940000003902242 	-7.5 	0 	
-7.39999961853027 	0.00949999994918471 	-7.39999961853027 	0 	
-7.29999923706055 	0.00929999994696118 	-7.29999923706055 	0 	
-7.20000076293945 	0.00890001324296463 	-7.20000076293945 	0 	
-7.10000038146973 	0.0100999996138853 	-7.10000038146973 	0 	
-7 	0.00939999986439943 	-7 	0 	
-6.89999961853027 	0.00920000045880442 	-6.89999961853027 	0 	
-6.79999923706055 	0.0098999996916973 	-6.79999923706055 	0 	
-6.70000076293945 	0.00900002628623042 	-6.70000076293945 	0 	
-6.60000038146973 	0.00820000029489165 	-6.60000038146973 	0 	
-6.5 	0.00960000029590447 	-6.5 	0 	
-6.39999961853027 	0.00930000038351864 	-6.39999961853027 	0 	
-6.29999923706055 	0.0103000001327018 	-6.29999923706055 	0 	
-6.20000076293945 	0.0109999960623099 	-6.20000076293945 	0 	
-6.10000038146973 	0.00920000013866229 	-6.10000038146973 	0 	
-6 	0.00820000006206101 	-6 	0 	
-5.89999961853027 	0.00760000023001339 	-5.89999961853027 	0 	
-5.79999923706055 	0.00580000011541415 	-5.79999923706055 	0 	
-5.70000076293945 	0.00370002286945237 	-5.70000076293945 	0 	
-5.60000038146973 	0.00360000002547167 	-5.60000038146973 	0 	
-5.5 	0.00199999998585554 	-5.5 	0 	
-5.39999961853027 	0.00270000000455184 	-5.39999961853027 	0 	
-5.29999923706055 	0.00159999998868443 	-5.29999923706055 	0 	
-5.20000076293945 	0.000300015258487107 	-5.20000076293945 	0 	
-5.10000038146973 	9.99999756459147E-05 	-5.10000038146973 	0 	
-5 	-0.00119999998423737 	-5 	0 	
-4.89999961853027 	0.000299999992421363 	-4.89999961853027 	0 	
-4.79999923706055 	0.00019999998039566 	-4.79999923706055 	0 	
-4.70000076293945 	-0.00119998664734933 	-4.70000076293945 	0 	
-4.60000038146973 	-0.000799999972514343 	-4.60000038146973 	0 	
-4.5 	-0.00159999996685656 	-4.5 	0 	
