Run 1; Fc 5-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM_X 	Run 1; Fc 5-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM_Y 	Run 1; Fc 5-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM; Fitted_X 	Run 1; Fc 5-1; Cy 3; Sample 1; Conc 3.9 15.6 62.5 250 1000 4000 nM; Fitted_Y 	
-21.6000003814697 	0.182699955366843 	-21.6000003814697 	0 	
-21.5 	0.180999975680606 	-21.5 	0 	
-21.4000015258789 	0.180099952984165 	-21.4000015258789 	0 	
-21.3000011444092 	0.176899986170611 	-21.3000011444092 	0 	
-21.2000007629395 	0.174799986169091 	-21.2000007629395 	0 	
-21.1000003814697 	0.174200002762518 	-21.1000003814697 	0 	
-21 	0.173100016305398 	-21 	0 	
-20.9000015258789 	0.172499947548204 	-20.9000015258789 	0 	
-20.8000011444092 	0.171999958034576 	-20.8000011444092 	0 	
-20.7000007629395 	0.170499948882934 	-20.7000007629395 	0 	
-20.6000003814697 	0.170299975965463 	-20.6000003814697 	0 	
-20.5 	0.168699996280338 	-20.5 	0 	
-20.4000015258789 	0.167799990176718 	-20.4000015258789 	0 	
-20.3000011444092 	0.167300023364078 	-20.3000011444092 	0 	
-20.2000007629395 	0.166999957655207 	-20.2000007629395 	0 	
-20.1000003814697 	0.166899961375748 	-20.1000003814697 	0 	
-20 	0.165700008103158 	-20 	0 	
-19.9000015258789 	0.165099995232595 	-19.9000015258789 	0 	
-19.8000011444092 	0.165299979304109 	-19.8000011444092 	0 	
-19.7000007629395 	0.164699983022729 	-19.7000007629395 	0 	
-19.6000003814697 	0.165199970149843 	-19.6000003814697 	0 	
-19.5 	0.165199980638135 	-19.5 	0 	
-19.4000015258789 	0.165799984359182 	-19.4000015258789 	0 	
-19.3000011444092 	0.166500007722789 	-19.3000011444092 	0 	
-19.2000007629395 	0.165500014496502 	-19.2000007629395 	0 	
-19.1000003814697 	0.164099997902667 	-19.1000003814697 	0 	
-19 	0.161599984359782 	-19 	0 	
-18.9000015258789 	0.160500027366652 	-18.9000015258789 	0 	
-18.8000011444092 	0.159699964711763 	-18.8000011444092 	0 	
-18.7000007629395 	0.158599978254642 	-18.7000007629395 	0 	
-18.6000003814697 	0.157799998567498 	-18.6000003814697 	0 	
-18.5 	0.157799979588162 	-18.5 	0 	
-18.4000015258789 	0.157499966713658 	-18.4000015258789 	0 	
-18.3000011444092 	0.156300016496971 	-18.3000011444092 	0 	
-18.2000007629395 	0.154299999903742 	-18.2000007629395 	0 	
-18.1000003814697 	0.15349999684986 	-18.1000003814697 	0 	
-18 	0.151900023269263 	-18 	0 	
-17.9000015258789 	0.150300006676844 	-17.9000015258789 	0 	
-17.8000011444092 	0.148800036142347 	-17.8000011444092 	0 	
-17.7000007629395 	0.147900009724253 	-17.7000007629395 	0 	
-17.6000003814697 	0.148199993131129 	-17.6000003814697 	0 	
-17.5 	0.14820000295731 	-17.5 	0 	
-17.4000015258789 	0.148899999901914 	-17.4000015258789 	0 	
-17.3000011444092 	0.146200036142545 	-17.3000011444092 	0 	
-17.2000007629395 	0.144399996184802 	-17.2000007629395 	0 	
-17.1000003814697 	0.143099976536178 	-17.1000003814697 	0 	
-17 	0.14130002937236 	-17 	0 	
-16.9000015258789 	0.141499966714036 	-16.9000015258789 	0 	
-16.8000011444092 	0.140900003621937 	-16.8000011444092 	0 	
-16.7000007629395 	0.139799980257521 	-16.7000007629395 	0 	
-16.6000003814697 	0.137900045963761 	-16.6000003814697 	0 	
-16.5 	0.136200025652215 	-16.5 	0 	
-16.4000015258789 	0.133799979586911 	-16.4000015258789 	0 	
-16.3000011444092 	0.137699866103503 	-16.3000011444092 	0 	
-16.2000007629395 	0.143299885367014 	-16.2000007629395 	0 	
-16.1000003814697 	0.143299955459952 	-16.1000003814697 	0 	
-16 	0.138699972721952 	-16 	0 	
-15.9000005722046 	0.128100009631453 	-15.9000005722046 	0 	
-15.8000011444092 	0.128899931714841 	-15.8000011444092 	0 	
-15.7000007629395 	0.128499961851048 	-15.7000007629395 	0 	
-15.6000003814697 	0.128500001810608 	-15.6000003814697 	0 	
-15.5000009536743 	0.121800089549652 	-15.5000009536743 	0 	
-15.4000005722046 	0.11790000963083 	-15.4000005722046 	0 	
-15.3000011444092 	0.116000012683799 	-15.3000011444092 	0 	
-15.2000007629395 	0.116099989983923 	-15.2000007629395 	0 	
-15.1000003814697 	0.115699947640678 	-15.1000003814697 	0 	
-15.0000009536743 	0.109399994369596 	-15.0000009536743 	0 	
-14.9000005722046 	0.107800027559279 	-14.9000005722046 	0 	
-14.8000011444092 	0.109200017071998 	-14.8000011444092 	0 	
-14.7000007629395 	0.111700000474229 	-14.7000007629395 	0 	
-14.6000003814697 	0.115599918841326 	-14.6000003814697 	0 	
-14.5 	0.121200009918539 	-14.5 	0 	
-14.4000015258789 	0.125799935056421 	-14.4000015258789 	0 	
-14.3000011444092 	0.125699926564266 	-14.3000011444092 	0 	
-14.2000007629395 	0.12819996413964 	-14.2000007629395 	0 	
-14.1000003814697 	0.130599945161521 	-14.1000003814697 	0 	
-14 	0.126299992942222 	-14 	0 	
-13.9000015258789 	0.115000213812891 	-13.9000015258789 	0 	
-13.8000011444092 	0.118099969291507 	-13.8000011444092 	0 	
-13.7000007629395 	0.117700019072799 	-13.7000007629395 	0 	
-13.6000003814697 	0.11160007734361 	-13.6000003814697 	0 	
-13.5 	0.139399977397261 	-13.5 	0 	
-13.4000015258789 	0.148500003811932 	-13.4000015258789 	0 	
-13.3000011444092 	0.142699997042655 	-13.3000011444092 	0 	
-13.2000007629395 	0.137699873732345 	-13.2000007629395 	0 	
