Run 1; Fc 2-1; Cy 7; DT; Conc 8 40 200 1000 5000 nM_X 	Run 1; Fc 2-1; Cy 7; DT; Conc 8 40 200 1000 5000 nM_Y 	Run 1; Fc 2-1; Cy 7; DT; Conc 8 40 200 1000 5000 nM; Fitted_X 	Run 1; Fc 2-1; Cy 7; DT; Conc 8 40 200 1000 5000 nM; Fitted_Y 	
-52.1000022888184 	0.68359375 	-52.1000022888184 	0 	
-52 	0.75390625 	-52 	0 	
-51.9000015258789 	0.79296875 	-51.9000015258789 	0 	
-51.8000030517578 	0.8046875 	-51.8000030517578 	0 	
-51.7000007629395 	0.81640625 	-51.7000007629395 	0 	
-51.6000022888184 	0.83203125 	-51.6000022888184 	0 	
-51.5 	0.83984375 	-51.5 	0 	
-51.4000015258789 	0.83984375 	-51.4000015258789 	0 	
-51.3000030517578 	0.8515625 	-51.3000030517578 	0 	
-51.2000007629395 	0.859375 	-51.2000007629395 	0 	
-51.1000022888184 	0.8828125 	-51.1000022888184 	0 	
-51 	0.90234375 	-51 	0 	
-50.9000015258789 	0.921875 	-50.9000015258789 	0 	
-50.8000030517578 	0.93359375 	-50.8000030517578 	0 	
-50.7000007629395 	0.94921875 	-50.7000007629395 	0 	
-50.6000022888184 	0.953125 	-50.6000022888184 	0 	
-50.5 	0.953125 	-50.5 	0 	
-50.4000015258789 	0.9453125 	-50.4000015258789 	0 	
-50.3000030517578 	0.94921875 	-50.3000030517578 	0 	
-50.2000007629395 	0.9609375 	-50.2000007629395 	0 	
-50.1000022888184 	0.9609375 	-50.1000022888184 	0 	
-50 	0.953125 	-50 	0 	
-49.9000015258789 	0.953125 	-49.9000015258789 	0 	
-49.8000030517578 	0.953125 	-49.8000030517578 	0 	
-49.7000007629395 	0.953125 	-49.7000007629395 	0 	
-49.6000022888184 	0.953125 	-49.6000022888184 	0 	
