Run 1; Fc 3-1; Cy 3; RPA; Conc 0.04572474 0.1371742 0.4115226 1.234568 3.703704 11.11111 33.33333 100 nM_X 	Run 1; Fc 3-1; Cy 3; RPA; Conc 0.04572474 0.1371742 0.4115226 1.234568 3.703704 11.11111 33.33333 100 nM_Y 	Run 1; Fc 3-1; Cy 3; RPA; Conc 0.04572474 0.1371742 0.4115226 1.234568 3.703704 11.11111 33.33333 100 nM; Fitted_X 	Run 1; Fc 3-1; Cy 3; RPA; Conc 0.04572474 0.1371742 0.4115226 1.234568 3.703704 11.11111 33.33333 100 nM; Fitted_Y 	
-22.1999988555908 	0.872099999996863 	-22.1999988555908 	0 	
-22.0999984741211 	0.868299999998271 	-22.0999984741211 	0 	
-22 	0.86160000000018 	-22 	0 	
-21.8999996185303 	0.855599999998958 	-21.8999996185303 	0 	
-21.7999992370605 	0.852200000001176 	-21.7999992370605 	0 	
-21.6999988555908 	0.848099999999249 	-21.6999988555908 	0 	
-21.5999984741211 	0.844700000001467 	-21.5999984741211 	0 	
-21.5 	0.84139999999752 	-21.5 	0 	
-21.3999996185303 	0.83810000000085 	-21.3999996185303 	0 	
-21.2999992370605 	0.835100000000239 	-21.2999992370605 	0 	
-21.1999988555908 	0.832299999998213 	-21.1999988555908 	0 	
-21.0999984741211 	0.829400000002352 	-21.0999984741211 	0 	
-21 	0.825999999997293 	-21 	0 	
-20.8999996185303 	0.823300000000017 	-20.8999996185303 	0 	
-20.7999992370605 	0.820599999999104 	-20.7999992370605 	0 	
-20.6999988555908 	0.819999999999709 	-20.6999988555908 	0 	
-20.5999984741211 	0.817199999997683 	-20.5999984741211 	0 	
-20.5 	0.815699999999197 	-20.5 	0 	
-20.3999996185303 	0.812999999998283 	-20.3999996185303 	0 	
-20.2999992370605 	0.810300000001007 	-20.2999992370605 	0 	
-20.1999988555908 	0.807400000001508 	-20.1999988555908 	0 	
-20.0999984741211 	0.80449999999837 	-20.0999984741211 	0 	
-20 	0.801500000001397 	-20 	0 	
-19.8999996185303 	0.798900000001595 	-19.8999996185303 	0 	
-19.7999992370605 	0.796299999998155 	-19.7999992370605 	0 	
-19.6999988555908 	0.792900000000373 	-19.6999988555908 	0 	
-19.5999984741211 	0.79030000000057 	-19.5999984741211 	0 	
-19.5 	0.788300000000163 	-19.5 	0 	
-19.3999996185303 	0.786000000000058 	-19.3999996185303 	0 	
-19.2999992370605 	0.784199999998236 	-19.2999992370605 	0 	
-19.1999988555908 	0.781299999998737 	-19.1999988555908 	0 	
